itm_no_item|INVALID ITEM 
itm_almogavar_a|毛 皮 大 衣 
itm_almogavar_a_pl|毛 皮 大 衣 
itm_almogavar_b|毛 皮 大 衣 
itm_almogavar_b_pl|毛 皮 大 衣 
itm_almogavar_c|毛 皮 大 衣 
itm_almogavar_c_pl|毛 皮 大 衣 
itm_burlap_tunic|麻 布 短 袍 
itm_burlap_tunic_pl|麻 布 短 袍 
itm_heraldic_mail_with_surcoat|紋 章 甲 帶 外 套 
itm_heraldic_mail_with_surcoat_pl|紋 章 甲 帶 外 套 
itm_sarranid_head_cloth|女 式 頭 布 
itm_sarranid_head_cloth_pl|女 式 頭 布 
itm_sarranid_head_cloth_b|女 式 頭 布 
itm_sarranid_head_cloth_b_pl|女 式 頭 布 
itm_sarranid_felt_head_cloth|頭 布 
itm_sarranid_felt_head_cloth_pl|頭 布 
itm_sarranid_felt_head_cloth_b|頭 布 
itm_sarranid_felt_head_cloth_b_pl|頭 布 
itm_turret_hat_green|炮 台 帽 
itm_turret_hat_green_pl|炮 台 帽 
itm_head_wrappings|包 頭 巾 
itm_head_wrappings_pl|包 頭 巾 
itm_wimple_a|包 頭 巾 
itm_wimple_a_pl|包 頭 巾 
itm_wimple_with_veil|帶 面 紗 頭 巾 
itm_wimple_with_veil_pl|帶 面 紗 頭 巾 
itm_straw_hat|草 帽 
itm_straw_hat_pl|草 帽 
itm_common_hood|風 帽 
itm_common_hood_pl|風 帽 
itm_headcloth|包 頭 巾 
itm_headcloth_pl|包 頭 巾 
itm_arming_cap|戰 士 帽 
itm_arming_cap_pl|戰 士 帽 
itm_fur_hat|毛 皮 帽 
itm_fur_hat_pl|毛 皮 帽 
itm_nomad_cap|游 牧 帽 
itm_nomad_cap_pl|游 牧 帽 
itm_nomad_cap_b|游 牧 帽 
itm_nomad_cap_b_pl|游 牧 帽 
itm_steppe_cap|草 原 帽 
itm_steppe_cap_pl|草 原 帽 
itm_padded_coif|加 襯 頭 巾 
itm_padded_coif_pl|加 襯 頭 巾 
itm_woolen_cap|羊 毛 帽 
itm_woolen_cap_pl|羊 毛 帽 
itm_felt_hat|氈 帽 
itm_felt_hat_pl|氈 帽 
itm_felt_hat_b|氈 帽 
itm_felt_hat_b_pl|氈 帽 
itm_leather_cap|皮 帽 
itm_leather_cap_pl|皮 帽 
itm_female_hood|女 士 頭 巾 
itm_female_hood_pl|女 士 頭 巾 
itm_leather_steppe_cap_a|草 原 帽 
itm_leather_steppe_cap_a_pl|草 原 帽 
itm_leather_steppe_cap_b|草 原 帽 
itm_leather_steppe_cap_b_pl|草 原 帽 
itm_leather_steppe_cap_c|草 原 帽 
itm_leather_steppe_cap_c_pl|草 原 帽 
itm_mail_coif|鏈 甲 頭 巾 
itm_mail_coif_pl|鏈 甲 頭 巾 
itm_footman_helmet|步 兵 盔 
itm_footman_helmet_pl|步 兵 盔 
itm_khergit_lady_hat|蒙 古 女 式 帽 
itm_khergit_lady_hat_pl|蒙 古 女 式 帽 
itm_khergit_lady_hat_b|蒙 古 女 式 皮 帽 
itm_khergit_lady_hat_b_pl|蒙 古 女 式 皮 帽 
itm_sarranid_felt_hat|薩 拉 遜 氈 帽 
itm_sarranid_felt_hat_pl|薩 拉 遜 氈 帽 
itm_turban_a|包 頭 巾 
itm_turban_a_pl|包 頭 巾 
itm_turban_b|包 頭 巾 
itm_turban_b_pl|包 頭 巾 
itm_turban_c|包 頭 巾 
itm_turban_c_pl|包 頭 巾 
itm_arab_mail_coif|薩 拉 遜 鏈 甲 頭 巾 
itm_arab_mail_coif_pl|薩 拉 遜 鏈 甲 頭 巾 
itm_seljuk_helmet|塞 爾 柱 盔 
itm_seljuk_helmet_pl|塞 爾 柱 盔 
itm_arab_helmet_a|薩 拉 遜 盔 
itm_arab_helmet_a_pl|薩 拉 遜 盔 
itm_arab_helmet_c|薩 拉 遜 盔 
itm_arab_helmet_c_pl|薩 拉 遜 盔 
itm_sarranid_warrior_cap|薩 拉 遜 勇 士 帽 
itm_sarranid_warrior_cap_pl|薩 拉 遜 勇 士 帽 
itm_sarranid_horseman_helmet|騎 手 盔 
itm_sarranid_horseman_helmet_pl|騎 手 盔 
itm_sarranid_helmet1|薩 拉 遜 頭 巾 盔 
itm_sarranid_helmet1_pl|薩 拉 遜 頭 巾 盔 
itm_sarranid_mail_coif|薩 拉 遜 鏈 甲 鏈 甲 頭 巾 
itm_sarranid_mail_coif_pl|薩 拉 遜 鏈 甲 鏈 甲 頭 巾 
itm_sarranid_veiled_helmet|薩 拉 遜 遮 面 盔 
itm_sarranid_veiled_helmet_pl|薩 拉 遜 遮 面 盔 
itm_vaegir_fur_cap|毛 皮 盔 
itm_vaegir_fur_cap_pl|毛 皮 盔 
itm_vaegir_fur_helmet|羅 斯 盔 
itm_vaegir_fur_helmet_pl|羅 斯 盔 
itm_vaegir_spiked_helmet|錐 頂 帽 
itm_vaegir_spiked_helmet_pl|錐 頂 帽 
itm_vaegir_lamellar_helmet|鱗 片 護 甲 盔 
itm_vaegir_lamellar_helmet_pl|鱗 片 護 甲 盔 
itm_vaegir_mask|羅 斯 面 具 戰 盔 
itm_vaegir_mask_pl|羅 斯 面 具 戰 盔 
itm_winged_great_helmet|帶 翼 巨 盔 
itm_winged_great_helmet_pl|帶 翼 巨 盔 
itm_osp_great_helm_a|巨 盔 
itm_osp_great_helm_a_pl|巨 盔 
itm_osp_great_helm_b|巨 盔 
itm_osp_great_helm_b_pl|巨 盔 
itm_osp_byzantion_a|帶 檐 頭 盔 
itm_osp_byzantion_a_pl|帶 檐 頭 盔 
itm_vik_norman_helmet_a|諾 曼 盔 
itm_vik_norman_helmet_a_pl|諾 曼 盔 
itm_vik_norman_helmet_b|諾 曼 盔 
itm_vik_norman_helmet_b_pl|諾 曼 盔 
itm_vik_norman_helmet_c|諾 曼 盔 
itm_vik_norman_helmet_c_pl|諾 曼 盔 
itm_vik_norman_helmet_e|平 面 盔 
itm_vik_norman_helmet_e_pl|平 面 盔 
itm_vik_spangen_a|夾 鐵 盔 
itm_vik_spangen_a_pl|夾 鐵 盔 
itm_vik_spangen_b|夾 鐵 盔 
itm_vik_spangen_b_pl|夾 鐵 盔 
itm_balt_spiked_helmet|波 羅 的 海 錐 頭 帽 
itm_balt_spiked_helmet_pl|波 羅 的 海 錐 頭 帽 
itm_balt_footman_helmet|波 羅 的 海 步 兵 盔 
itm_balt_footman_helmet_pl|波 羅 的 海 步 兵 盔 
itm_balt_helmet_a|波 羅 的 海 盔 
itm_balt_helmet_a_pl|波 羅 的 海 盔 
itm_balt_helmet_b|波 羅 的 海 盔 
itm_balt_helmet_b_pl|波 羅 的 海 盔 
itm_balt_helmet_c|波 羅 的 海 盔 
itm_balt_helmet_c_pl|波 羅 的 海 盔 
itm_teu_kettle_hat_a|鍋 盔 
itm_teu_kettle_hat_a_pl|鍋 盔 
itm_teu_kettle_hat_b|鍋 盔 
itm_teu_kettle_hat_b_pl|鍋 盔 
itm_slonim|斯 洛 尼 姆 式 頭 盔 
itm_slonim_pl|斯 洛 尼 姆 式 頭 盔 
itm_osp_faceplate|覆 面 盔 
itm_osp_faceplate_pl|覆 面 盔 
itm_rnd_helm_01|帶 翼 巨 盔 
itm_rnd_helm_01_pl|帶 翼 巨 盔 
itm_rnd_helm_02|帶 翼 巨 盔 
itm_rnd_helm_02_pl|帶 翼 巨 盔 
itm_rnd_helm_03|帶 翼 巨 盔 
itm_rnd_helm_03_pl|帶 翼 巨 盔 
itm_rnd_helm_04|巨 盔 
itm_rnd_helm_04_pl|巨 盔 
itm_rnd_helm_05|巨 盔 
itm_rnd_helm_05_pl|巨 盔 
itm_rnd_helm_06|巨 盔 
itm_rnd_helm_06_pl|巨 盔 
itm_kau_montcada_helmet|阿 拉 貢 盔 
itm_kau_montcada_helmet_pl|阿 拉 貢 盔 
itm_kau_alego_helmet|阿 拉 貢 盔 
itm_kau_alego_helmet_pl|阿 拉 貢 盔 
itm_kau_cervello_helmet|阿 拉 貢 盔 
itm_kau_cervello_helmet_pl|阿 拉 貢 盔 
itm_kau_cruilles_helmet|阿 拉 貢 盔 
itm_kau_cruilles_helmet_pl|阿 拉 貢 盔 
itm_kau_entenca_helmet|阿 拉 貢 盔 
itm_kau_entenca_helmet_pl|阿 拉 貢 盔 
itm_kau_epyres_helmet|阿 拉 貢 盔 
itm_kau_epyres_helmet_pl|阿 拉 貢 盔 
itm_kau_luna_helmet|阿 拉 貢 盔 
itm_kau_luna_helmet_pl|阿 拉 貢 盔 
itm_kau_pons_helmet|阿 拉 貢 盔 
itm_kau_pons_helmet_pl|阿 拉 貢 盔 
itm_kau_reino_helmet|阿 拉 貢 盔 
itm_kau_reino_helmet_pl|阿 拉 貢 盔 
itm_kau_urgell_helmet|阿 拉 貢 盔 
itm_kau_urgell_helmet_pl|阿 拉 貢 盔 
itm_byz_yoman_a|拜 占 庭 盔 
itm_byz_yoman_a_pl|拜 占 庭 盔 
itm_byz_yoman_b|拜 占 庭 盔 
itm_byz_yoman_b_pl|拜 占 庭 盔 
itm_byz_yoman_c|拜 占 庭 盔 
itm_byz_yoman_c_pl|拜 占 庭 盔 
itm_byz_yoman_d|拜 占 庭 盔 
itm_byz_yoman_d_pl|拜 占 庭 盔 
itm_templar_kettlehat_a|鍋 盔 
itm_templar_kettlehat_a_pl|鍋 盔 
itm_hospitaller_kettlehat_a|鍋 盔 
itm_hospitaller_kettlehat_a_pl|鍋 盔 
itm_elm1|寬 邊 帽 盔 帶 護 面 
itm_elm1_pl|寬 邊 帽 盔 帶 護 面 
itm_elm2|寬 邊 帽 盔 帶 軍 帽 襯 裡 
itm_elm2_pl|寬 邊 帽 盔 帶 軍 帽 襯 裡 
itm_elm3|護 鼻 寬 邊 帽 盔 
itm_elm3_pl|護 鼻 寬 邊 帽 盔 
itm_elm5|阿 拉 貢 盔 
itm_elm5_pl|阿 拉 貢 盔 
itm_elm6|加 襯 鏈 甲 頭 巾 
itm_elm6_pl|加 襯 鏈 甲 頭 巾 
itm_elm7|加 強 鏈 甲 頭 巾 
itm_elm7_pl|加 強 鏈 甲 頭 巾 
itm_elm8|帶 護 面 寬 邊 帽 盔 
itm_elm8_pl|帶 護 面 寬 邊 帽 盔 
itm_elm9|弗 裡 吉 亞 盔 
itm_elm9_pl|弗 裡 吉 亞 盔 
itm_elm10|拜 占 庭 寬 邊 盔 
itm_elm10_pl|拜 占 庭 寬 邊 盔 
itm_byz_helmet_a|拜 占 庭 步 兵 盔 
itm_byz_helmet_a_pl|拜 占 庭 步 兵 盔 
itm_leather_warrior_cap|皮 勇 士 帽 
itm_leather_warrior_cap_pl|皮 勇 士 帽 
itm_skullcap|無 邊 盔 
itm_skullcap_pl|無 邊 盔 
itm_raf_spangen|夾 鐵 盔 
itm_raf_spangen_pl|夾 鐵 盔 
itm_arab_helmet_b|薩 拉 遜 盔 
itm_arab_helmet_b_pl|薩 拉 遜 盔 
itm_berber_helmet_a|柏 柏 爾 盔 
itm_berber_helmet_a_pl|柏 柏 爾 盔 
itm_maciejowski_helm|巨 盔 
itm_maciejowski_helm_pl|巨 盔 
itm_talak_litchina|覆 面 盔 
itm_talak_litchina_pl|覆 面 盔 
itm_crown_coif|王 冠 盔 
itm_crown_coif_pl|王 冠 盔 
itm_aragon_crown|王 冠 盔 
itm_aragon_crown_pl|王 冠 盔 
itm_talak_crown_ornate|飾 品 王 冠 盔 
itm_talak_crown_ornate_pl|飾 品 王 冠 盔 
itm_cuman_cap_a|庫 曼 帽 
itm_cuman_cap_a_pl|庫 曼 帽 
itm_cuman_cap_b|庫 曼 帽 
itm_cuman_cap_b_pl|庫 曼 帽 
itm_cuman_cap_c|庫 曼 帽 
itm_cuman_cap_c_pl|庫 曼 帽 
itm_maciejowski_kettle_hat_a|鍋 盔 
itm_maciejowski_kettle_hat_a_pl|鍋 盔 
itm_maciejowski_kettle_hat_b|鍋 盔 
itm_maciejowski_kettle_hat_b_pl|鍋 盔 
itm_norman_coif_a|諾 曼 盔 
itm_norman_coif_a_pl|諾 曼 盔 
itm_maciejowski_crown|王 冠 巨 盔 
itm_maciejowski_crown_pl|王 冠 巨 盔 
itm_crowned_norman|王 冠 諾 曼 盔 
itm_crowned_norman_pl|王 冠 諾 曼 盔 
itm_norman_coif_b|諾 曼 盔 帶 護 面 
itm_norman_coif_b_pl|諾 曼 盔 帶 護 面 
itm_rus_helm_a|羅 斯 盔 帶 護 面 
itm_rus_helm_a_pl|羅 斯 盔 帶 護 面 
itm_rus_helmet_b|羅 斯 盔 
itm_rus_helmet_b_pl|羅 斯 盔 
itm_norman_coif_c|諾 曼 盔 
itm_norman_coif_c_pl|諾 曼 盔 
itm_norman_coif_d|諾 曼 盔 
itm_norman_coif_d_pl|諾 曼 盔 
itm_norman_coif_e|諾 曼 盔 
itm_norman_coif_e_pl|諾 曼 盔 
itm_teu_kettle_hat_a_mail|鍋 盔 
itm_teu_kettle_hat_a_mail_pl|鍋 盔 
itm_templar_kettlehat_a_mail|鍋 盔 
itm_templar_kettlehat_a_mail_pl|鍋 盔 
itm_hospitaller_kettlehat_a_mail|鍋 盔 
itm_hospitaller_kettlehat_a_mail_pl|鍋 盔 
itm_kolpak_mail|圓 盔 
itm_kolpak_mail_pl|圓 盔 
itm_mail_coif_b|盛 飾 的 鏈 甲 頭 巾 
itm_mail_coif_b_pl|裝 飾 鏈 甲 頭 巾 
itm_mail_coif_c|盛 飾 的 鏈 甲 頭 巾 
itm_mail_coif_c_pl|裝 飾 鏈 甲 頭 巾 
itm_norman_faceplate|帶 面 罩 盔
itm_norman_faceplate_pl|帶 面 罩 盔
itm_varangian_helm|瓦 蘭 吉 盔 
itm_varangian_helm_pl|瓦 蘭 吉 盔 
itm_mamluke_helm|馬 木 魯 克 盔 
itm_mamluke_helm_pl|馬 木 魯 克 盔 
itm_wooden_stick|木 枝 
itm_wooden_stick_pl|木 枝 
itm_cudgel|短 棍 
itm_cudgel_pl|短 棍 
itm_hammer|錘 子 
itm_hammer_pl|錘 子 
itm_club|木 棒 
itm_club_pl|木 棒 
itm_winged_mace|凸 緣 杖 
itm_winged_mace_pl|凸 緣 杖 
itm_spiked_mace|尖 頭 杖 
itm_spiked_mace_pl|尖 頭 杖 
itm_military_hammer|軍 用 錘 
itm_military_hammer_pl|軍 用 錘 
itm_maul|木 錘 
itm_maul_pl|木 錘 
itm_sledgehammer|大 錘 
itm_sledgehammer_pl|大 錘 
itm_warhammer|戰 錘 
itm_warhammer_pl|戰 錘 
itm_pickaxe|鶴 嘴 鋤 
itm_pickaxe_pl|鶴 嘴 鋤 
itm_spiked_club|尖 頭 棒 
itm_spiked_club_pl|尖 頭 棒 
itm_fighting_pick|格 鬥 鋤 
itm_fighting_pick_pl|格 鬥 鋤 
itm_military_pick|軍 用 鋤 
itm_military_pick_pl|軍 用 鋤 
itm_morningstar|釘 頭 錘 
itm_morningstar_pl|釘 頭 錘 
itm_sickle|鐮 刀 
itm_sickle_pl|鐮 刀 
itm_cleaver|菜 刀 
itm_cleaver_pl|菜 刀 
itm_knife|小 刀 
itm_knife_pl|小 刀 
itm_butchering_knife|屠 宰 刀 
itm_butchering_knife_pl|屠 宰 刀 
itm_dagger|匕 首 
itm_dagger_pl|匕 首 
itm_falchion|單 刀 
itm_falchion_pl|單 刀 
itm_scimitar|彎 刀 
itm_scimitar_pl|彎 刀 
itm_scimitar_b|精 銳 彎 刀 
itm_scimitar_b_pl|精 銳 彎 刀 
itm_arabian_sword_a|薩 拉 遜 劍 
itm_arabian_sword_a_pl|薩 拉 遜 劍 
itm_arabian_sword_b|薩 拉 遜 戰 士 劍 
itm_arabian_sword_b_pl|薩 拉 遜 戰 士 劍 
itm_sarranid_cavalry_sword|薩 拉 遜 騎 兵 劍 
itm_sarranid_cavalry_sword_pl|薩 拉 遜 騎 兵 劍 
itm_arabian_sword_d|薩 拉 遜 衛 士 劍 
itm_arabian_sword_d_pl|薩 拉 遜 衛 士 劍 
itm_andalusian_sword|安 達 盧 西 亞 劍 
itm_andalusian_sword_pl|安 達 盧 西 亞 劍 
itm_hatchet|短 斧 
itm_hatchet_pl|短 斧 
itm_talak_warhammer|戰 錘 
itm_talak_warhammer_pl|戰 錘 
itm_talak_bastard_sword|手 半 劍 
itm_talak_bastard_sword_pl|手 半 劍 
itm_raf_one_handed_axe_a|單 手 斧 
itm_raf_one_handed_axe_a_pl|單 手 斧 
itm_raf_one_handed_axe_b|單 手 斧 
itm_raf_one_handed_axe_b_pl|單 手 斧 
itm_raf_one_handed_axe_c|單 手 斧 
itm_raf_one_handed_axe_c_pl|單 手 斧 
itm_raf_one_handed_axe_d|單 手 斧 
itm_raf_one_handed_axe_d_pl|單 手 斧 
itm_raf_one_handed_axe_e|單 手 斧 
itm_raf_one_handed_axe_e_pl|單 手 斧 
itm_raf_one_handed_axe_f|單 手 斧 
itm_raf_one_handed_axe_f_pl|單 手 斧 
itm_raf_one_handed_axe_g|單 手 斧 
itm_raf_one_handed_axe_g_pl|單 手 斧 
itm_raf_one_handed_axe_h|鉤 斧 
itm_raf_one_handed_axe_h_pl|鉤 斧 
itm_raf_two_handed_axe_a|雙 手 斧 
itm_raf_two_handed_axe_a_pl|雙 手 斧 
itm_raf_two_handed_axe_b|雙 手 斧 
itm_raf_two_handed_axe_b_pl|雙 手 斧 
itm_raf_two_handed_axe_c|北 歐 戰 斧 
itm_raf_two_handed_axe_c_pl|北 歐 戰 斧 
itm_sarranid_mace_1|鐵 杖 
itm_sarranid_mace_1_pl|鐵 杖 
itm_sarranid_axe_a|鐵 戰 鬥 斧 
itm_sarranid_axe_a_pl|鐵 戰 鬥 斧 
itm_sarranid_axe_b|鐵 戰 斧 
itm_sarranid_axe_b_pl|鐵 戰 斧 
itm_sword_type_xii|XII型 西 歐 劍 
itm_sword_type_xii_pl|XII型 西 歐 劍 
itm_sword_type_xiia|XIIA型 西 歐 劍 
itm_sword_type_xiia_pl|XIIA型 西 歐 劍 
itm_sword_type_xiii|XIII型 西 歐 劍 
itm_sword_type_xiii_pl|XIII型 西 歐 劍 
itm_sword_type_xiiia|XIIIA型 西 歐 劍 
itm_sword_type_xiiia_pl|XIIIA型 西 歐 劍 
itm_sword_type_xiiib|XIIIB型 西 歐 劍 
itm_sword_type_xiiib_pl|XIIIB型 西 歐 劍 
itm_sword_type_xiv|XIV型 西 歐 劍 
itm_sword_type_xiv_pl|XIV型 西 歐 劍 
itm_cp391_sword|西 歐 騎 士 劍 
itm_cp391_sword_pl|西 歐 騎 士 劍 
itm_spatha|羅 馬 劍 
itm_spatha_pl|羅 馬 劍 
itm_two_handed_cleaver|直 刃 戰 刀 
itm_two_handed_cleaver_pl|直 刃 戰 刀 
itm_military_cleaver_b|直 刃 士 兵 刀 
itm_military_cleaver_b_pl|直 刃 士 兵 刀 
itm_military_cleaver_c|直 刃 軍 用 刀 
itm_military_cleaver_c_pl|直 刃 軍 用 刀 
itm_military_sickle_a|軍 用 鐮 刀 
itm_military_sickle_a_pl|軍 用 鐮 刀 
itm_shortened_voulge|短 柄 勾 斧 
itm_shortened_voulge_pl|短 柄 勾 斧 
itm_long_axe|長 斧 
itm_long_axe_pl|長 斧 
itm_long_axe_alt|長 斧 
itm_long_axe_alt_pl|長 斧 
itm_long_axe_b|長 戰 斧 
itm_long_axe_b_pl|長 戰 斧 
itm_long_axe_b_alt|長 戰 斧 
itm_long_axe_b_alt_pl|長 戰 斧 
itm_hafted_blade_b|偃 月 刀 
itm_hafted_blade_b_pl|偃 月 刀 
itm_hafted_blade_a|寬 刃 刀 
itm_hafted_blade_a_pl|寬 刃 刀 
itm_shortened_military_scythe|短 柄 軍 用 鐮 
itm_shortened_military_scythe_pl|短 柄 軍 用 鐮 
itm_sword_viking_1|北 歐 劍 
itm_sword_viking_1_pl|北 歐 劍 
itm_sword_viking_2|北 歐 劍 
itm_sword_viking_2_pl|北 歐 劍 
itm_sword_viking_2_small|北 歐 短 劍 
itm_sword_viking_2_small_pl|北 歐 短 劍 
itm_sword_viking_3|北 歐 戰 劍 
itm_sword_viking_3_pl|北 歐 戰 劍 
itm_sword_viking_3_small|北 歐 短 戰 劍 
itm_sword_viking_3_small_pl|北 歐 短 戰 劍 
itm_sword_khergit_1|游 牧 彎 刀 
itm_sword_khergit_1_pl|游 牧 彎 刀 
itm_sword_khergit_2|彎 刀 
itm_sword_khergit_2_pl|彎 刀 
itm_sword_khergit_3|彎 刀 
itm_sword_khergit_3_pl|彎 刀 
itm_sword_khergit_4|重 型 彎 刀 
itm_sword_khergit_4_pl|重 型 彎 刀 
itm_mace_1|尖 頭 棒 
itm_mace_1_pl|尖 頭 棒 
itm_mace_2|圓 頭 杖 
itm_mace_2_pl|圓 頭 杖 
itm_mace_3|尖 頭 杖 
itm_mace_3_pl|尖 頭 杖 
itm_mace_4|翼 頭 杖 
itm_mace_4_pl|翼 頭 杖 
itm_club_with_spike_head|尖 頭 棍 
itm_club_with_spike_head_pl|尖 頭 棍 
itm_long_spiked_club|長 釘 棒 
itm_long_spiked_club_pl|長 釘 棒 
itm_long_hafted_knobbed_mace|長 柄 圓 頭 杖 
itm_long_hafted_knobbed_mace_pl|長 柄 圓 頭 杖 
itm_long_hafted_spiked_mace|長 柄 尖 頭 杖 
itm_long_hafted_spiked_mace_pl|長 柄 尖 頭 杖 
itm_studded_club|釘 棍 
itm_studded_club_pl|釘 棍 
itm_scythe|長 柄 鐮 刀 
itm_scythe_pl|長 柄 鐮 刀 
itm_pitch_fork|耙 子 
itm_pitch_fork_pl|耙 子 
itm_military_fork|軍 用 叉 
itm_military_fork_pl|軍 用 叉 
itm_battle_fork|戰 鬥 叉 
itm_battle_fork_pl|戰 鬥 叉 
itm_glaive|長 柄 大 刀 
itm_glaive_pl|長 柄 大 刀 
itm_staff|棍 
itm_staff_pl|棍 
itm_quarter_staff|鐵 頭 棍 
itm_quarter_staff_pl|鐵 頭 棍 
itm_iron_staff|鐵 棍
itm_iron_staff_pl|鐵 棍
itm_military_scythe|軍 用 鐮 
itm_military_scythe_pl|軍 用 鐮 
itm_light_lance|輕 型 騎 槍 
itm_light_lance_pl|輕 型 騎 槍 
itm_lance|騎 槍 
itm_lance_pl|騎 槍 
itm_heavy_lance|重 型 騎 槍 
itm_heavy_lance_pl|重 型 騎 槍 
itm_heraldic_lance|紋 章 騎 槍 
itm_heraldic_lance_pl|紋 章 騎 槍 
itm_bamboo_spear|竹 矛 
itm_bamboo_spear_pl|竹 矛 
itm_spear_a|矛 
itm_spear_a_pl|矛 
itm_spear_b|短 矛 
itm_spear_b_pl|短 矛 
itm_spear_c|矛 
itm_spear_c_pl|矛 
itm_spear_d|矛 
itm_spear_d_pl|矛 
itm_spear_e|矛 
itm_spear_e_pl|矛 
itm_spear_f|矛 
itm_spear_f_pl|矛 
itm_spear_g|矛 
itm_spear_g_pl|矛 
itm_spear_h|矛 
itm_spear_h_pl|矛 
itm_spear_i|矛 
itm_spear_i_pl|矛 
itm_spear_j|長 矛 
itm_spear_j_pl|長 矛 
itm_spear_k|長 矛 
itm_spear_k_pl|長 矛 
itm_spear_l|長 矛 
itm_spear_l_pl|長 矛 
itm_spear_m|矛 
itm_spear_m_pl|矛 
itm_spear_n|長 矛 
itm_spear_n_pl|長 矛 
itm_spear_o|矛 
itm_spear_o_pl|矛 
itm_spear_p|矛 
itm_spear_p_pl|矛 
itm_wooden_shield|木 盾 
itm_wooden_shield_pl|木 盾 
itm_nordic_shield|北 歐 盾 
itm_nordic_shield_pl|北 歐 盾 
itm_leather_covered_round_shield|蒙 皮 圓 盾 
itm_leather_covered_round_shield_pl|蒙 皮 圓 盾 
itm_hide_covered_round_shield|獸 皮 圓 盾 
itm_hide_covered_round_shield_pl|獸 皮 圓 盾 
itm_tab_shield_small_round_n|平 面 盾 
itm_tab_shield_small_round_n_pl|平 面 盾 
itm_tab_shield_round_a|舊 圓 盾 
itm_tab_shield_round_a_pl|舊 圓 盾 
itm_tab_shield_round_b|簡 易 圓 盾 
itm_tab_shield_round_b_pl|簡 易 圓 盾 
itm_tab_shield_round_c|圓 盾 
itm_tab_shield_round_c_pl|圓 盾 
itm_tab_shield_round_d|精 制 圓 盾 
itm_tab_shield_round_d_pl|精 制 圓 盾 
itm_tab_shield_round_e|重 型 圓 盾 
itm_tab_shield_round_e_pl|重 型 圓 盾 
itm_tab_shield_kite_a|舊 箏 形 盾 
itm_tab_shield_kite_a_pl|舊 箏 形 盾 
itm_tab_shield_kite_b|簡 易 箏 形 盾 
itm_tab_shield_kite_b_pl|簡 易 箏 形 盾 
itm_tab_shield_kite_c|箏 形 盾 
itm_tab_shield_kite_c_pl|箏 形 盾 
itm_tab_shield_kite_d|重 型 箏 形 盾 
itm_tab_shield_kite_d_pl|重 型 箏 形 盾 
itm_tab_shield_kite_cav_a|騎 手 箏 形 盾 
itm_tab_shield_kite_cav_a_pl|騎 手 箏 形 盾 
itm_tab_shield_kite_cav_b|騎 士 箏 形 盾 
itm_tab_shield_kite_cav_b_pl|騎 士 箏 形 盾 
itm_tab_shield_heater_a|舊 扇 形 盾 
itm_tab_shield_heater_a_pl|舊 扇 形 盾 
itm_tab_shield_heater_b|簡 易 扇 形 盾 
itm_tab_shield_heater_b_pl|簡 易 扇 形 盾 
itm_tab_shield_heater_c|扇 形 盾 
itm_tab_shield_heater_c_pl|扇 形 盾 
itm_tab_shield_heater_d|重 扇 形 盾 
itm_tab_shield_heater_d_pl|重 扇 形 盾 
itm_tab_shield_heater_cav_a|騎 手 扇 形 盾 
itm_tab_shield_heater_cav_a_pl|騎 手 扇 形 盾 
itm_tab_shield_heater_cav_b|騎 士 扇 形 盾 
itm_tab_shield_heater_cav_b_pl|騎 士 扇 形 盾 
itm_tab_shield_pavise_d|重 型 闊 盾 
itm_tab_shield_pavise_d_pl|重 型 闊 盾 
itm_tab_shield_small_round_a|平 面 騎 兵 盾 
itm_tab_shield_small_round_a_pl|平 面 騎 兵 盾 
itm_tab_shield_small_round_b|圓 騎 兵 盾 
itm_tab_shield_small_round_b_pl|圓 騎 兵 盾 
itm_tab_shield_small_round_c|精 銳 騎 兵 盾 
itm_tab_shield_small_round_c_pl|精 銳 騎 兵 盾 
itm_lit_pavise_a_1|舊 立 陶 宛 盾 
itm_lit_pavise_a_1_pl|舊 立 陶 宛 盾 
itm_lit_pavise_b_1|舊 立 陶 宛 盾 
itm_lit_pavise_b_1_pl|舊 立 陶 宛 盾 
itm_lit_pavise_c_1|舊 立 陶 宛 盾 
itm_lit_pavise_c_1_pl|舊 立 陶 宛 盾 
itm_lit_pavise_d_1|舊 立 陶 宛 盾 
itm_lit_pavise_d_1_pl|舊 立 陶 宛 盾 
itm_lit_pavise_e_1|舊 立 陶 宛 盾 
itm_lit_pavise_e_1_pl|舊 立 陶 宛 盾 
itm_lit_pavise_f_1|舊 立 陶 宛 盾 
itm_lit_pavise_f_1_pl|舊 立 陶 宛 盾 
itm_lit_pavise_g_1|舊 立 陶 宛 盾 
itm_lit_pavise_g_1_pl|舊 立 陶 宛 盾 
itm_lit_pavise_h_1|舊 立 陶 宛 盾 
itm_lit_pavise_h_1_pl|舊 立 陶 宛 盾 
itm_lit_pavise_a_2|簡 易 立 陶 宛 盾 
itm_lit_pavise_a_2_pl|簡 易 立 陶 宛 盾 
itm_lit_pavise_b_2|簡 易 立 陶 宛 盾 
itm_lit_pavise_b_2_pl|簡 易 立 陶 宛 盾 
itm_lit_pavise_c_2|簡 易 立 陶 宛 盾 
itm_lit_pavise_c_2_pl|簡 易 立 陶 宛 盾 
itm_lit_pavise_d_2|簡 易 立 陶 宛 盾 
itm_lit_pavise_d_2_pl|簡 易 立 陶 宛 盾 
itm_lit_pavise_e_2|簡 易 立 陶 宛 盾 
