str_no_string|NO STRING! 
str_comment_you_claimed_the_throne_1_player_liege|我 的 線 人 告 訴 我， 這 裡 的 某 些 人 談 到 你 將 成 為 下 一 任 國 王 的 事 情。 我 認 為 你 應 該 馬 上 阻 止 這 類 無 聊 而 危 險 議 論。 
str_comment_you_claimed_the_throne_2_player_liege|我 的 線 人 說， 你 的 某 些 手 下 已 經 告 訴 那 些 農 民， 說 你 宣 布 參 與 競 逐 王 位。 我 衷 心 地 希 望 他 們 的 行 為 不 是 你 指 使 的。 
str_comment_lord_intervened_against_me|眾 所 周 知， 我 與 {s54}不 和， 而 {s50}的 裁 決 對 我 不 利。 
str_comment_i_protested_marshall_appointment|眾 所 周 知， 我 反 對 {s54}任 命 {s51}為 元 帥。 
str_comment_i_blamed_defeat|眾 所 周 知， {s54}對 {s51}的 偏 袒 讓 我 很 不 滿 意， 就 是 因 為 他， 我 們 才 在 戰 場 上 敗 給 了 {s56}。 
str_comment_i_was_entitled_to_fief|眾 所 周 知， 我 對 {s54}接 收 了 {s51}的 領 地 的 事 情 感 到 失 望， 那 裡 本 該 是 屬 於 我 的。 
str_comment_i_quarreled_with_troop_over_woman|眾 所 周 知， {s51}向 {s54}求 婚 了， 當 時 我 也 在 追 求 她。 他 根 本 配 不 上 她 的 青 睞， 我 打 算 教 訓 教 訓 他， 讓 他 離 {s54}遠 點 兒。 
str_comment_i_quarreled_with_you_over_woman_default|聽 說 你 向 {s54}求 婚 了。 我 不 覺 得 你 配 得 上 像 她 那 樣 美 麗 的 女 士， 勸 你 還 是 放 棄 追 求 她 吧。 
str_comment_i_quarreled_with_you_over_woman_derisive|聽 說 你 已 經 向 {s54}求 婚 了。 我 告 訴 你— — 我 還 是 個 孩 子 的 時 候 就 看 中 她 了， 那 時 候 她 是 個 小 姑 娘 呢。 她 在 這 個 王 國 裡， 生 來 就 擁 有 高 貴 的 血 統， 一 個 粗 魯 的 外 來 佬 的 追 求 只 能 貶 低 她 的 身 份。 離 她 遠 點 兒， 否 則 你 會 付 出 代 價！ 
str_comment_player_suggestion_succeeded|我 聽 從 了 你 的 建 議， 這 使 我 受 益 匪 淺。 
str_comment_player_suggestion_failed|我 聽 從 了 你 的 建 議， 結 果 遇 上 了 大 麻 煩， 你 應 該 為 此 負 責。 
str_comment_you_enfiefed_a_commoner_hesitant|聽 說 你 把 {s51}封 給 了 一 個 自 稱 是 {s54}的 平 民。 請 三 思 而 後 行。 掌 握 統 治 的 藝 術 並 不 是 件 容 易 的 事， 也 許 父 傳 子 承 才 是 最 好 的。 我 建 議 你 別 對 貴 族 的 世 襲 制 度 做 什 麼 改 動。 
str_comment_you_enfiefed_a_commoner_derisive|聽 說 你 把 {s51}封 給 了 一 個 自 稱 是 {s54}的 平 民。 難 道 古 人 沒 有 告 誡 過 我 們， 別 拿 豬 皮 來 做 皇 家 的 長 袍？ 
str_comment_you_enfiefed_a_commoner_nasty|我 知 道， 你 把 {s51}封 給 了 那 個 自 稱 是 {s54}的 平 民。 小 心 點， 狗 也 會 咬 主 人！ 
str_comment_marriage_normal_family|祝 賀 你 跟 我 的 {s11}{s50}結 為 夫 妻。 現 在 你 是 我 們 家 族 的 一 份 子 了。 
str_comment_marriage_normal|恭 喜 你 跟 {s50}結 為 夫 妻。 這 是 你 們 雙 方 的 榮 耀。 
str_comment_marriage_normal_nasty|好 吧— — 你 跟 {s50}結 婚 了。 毫 無 疑 問， 她 這 樣 的 傻 丫 頭 總 能 做 出 荒 唐 的 決 定。 
str_comment_marriage_elopement_family|嗯… … 不 管 怎 樣， 我 的 {s11}{s50}還 是 嫁 給 你 了。 不 知 道 你 使 了 什 麼 手 段 讓 她 接 受 你， 反 正 我 們 的 家 族 絕 不 會 忘 掉 這 樁 婚 姻 帶 來 的 恥 辱。 
str_comment_marriage_elopement_liege|據 說 你 和 {s50}不 顧 她 家 族 的 意 願 而 私 奔， 這 令 我 很 不 愉 快。 她 的 家 族 是 我 的 王 國 中 最 有 地 位 的 貴 族 之 一， 我 絕 不 想 看 到 他 們 被 人 當 成 蠢 貨 般 被 人 愚 弄。 
str_comment_you_broke_truce_as_my_vassal|聽 說 你 攻 擊 {s55}破 壞 了 我 簽 訂 的 停 戰 協 定。 你 知 道 人 們 會 怎 麼 看 待 我 嗎？ 如 果 你 的 行 為 是 我 指 使 的， 那 麼 我 失 去 了 信 譽。 如 果 這 是 你 個 人 的 決 定， 那 麼 我 失 去 了 威 信。 此 時 此 刻， 我 真 有 點 兒 想 治 你 一 個 叛 國 罪。 
str_comment_you_attacked_neutral_as_my_vassal|聽 說 你 攻 擊 了 {s55}。 這 等 於 是 給 了 他 們 攻 擊 我 的 借 口， 如 果 他 們 希 望 這 麼 做 的 話… … 走 著 瞧 吧。 你 可 真 是 做 了 件 好 事！ 
str_personality_archetypes|君 主 
str_martial|好 戰 的 
str_quarrelsome|脾 氣 暴 躁 的 
str_selfrighteous|冷 酷 的 
str_cunning|狡 詐 的 
str_debauched|殘 酷 成 性 的 
str_goodnatured|溫 厚 的 
str_upstanding|正 直 的 
str_roguish|無 賴 的 
str_benevolent|善 良 的 
str_mercantile|貪 財 的 
str_surrender_demand_default|投 降 或 者 去 死！ 
str_surrender_demand_martial|今 天 你 的 好 運 到 頭 了。 你 可 以 和 我 們 死 拼， 但 是 現 在 就 投 降 一 樣 不 是 什 麼 恥 辱 的 事 情。 
str_surrender_demand_quarrelsome|我 已 經 把 你 逼 到 絕 路 了。 投 降 吧， 否 則 我 會 騎 馬 把 你 像 條 狗 一 樣 碾 過。 
str_surrender_demand_pitiless|你 贏 不 了 我 的， 你 如 果 想 試 試 的 話， 我 會 好 好 教 訓 你 一 頓。 投 降 吧！ 
str_surrender_demand_cunning|你 今 天 輸 定 了。 放 棄 吧， 不 為 自 己 著 想， 也 得 為 你 的 部 下 著 想 吧！ 
str_surrender_demand_sadistic|投 降！ 不 然 我 會 把 你 當 魚 一 樣 挖 出 你 的 內 髒！ 
str_surrender_demand_goodnatured|我 軍 有 絕 對 優 勢。 投 降 吧， 我 們 優 待 俘 虜。 
str_surrender_demand_upstanding|你 可 以 和 我 們 死 拼， 但 是 你 的 許 多 部 下 都 將 被 殺 死， 你 也 會 戰 敗。 投 降， 盡 量 避 免 我 們 雙 方 不 必 要 的 流 血 犧 牲 吧。 
str_surrender_offer_default|停！ 我 投 降！ 
str_surrender_offer_martial|停！ 我 投 降！ 
str_surrender_offer_quarrelsome|夠 了！ 今 天 你 贏 了， 混 蛋！ 啊， 多 麼 恥 辱 啊！ 
str_surrender_offer_pitiless|我 投 降！ 你 贏 了。 今 天 見 鬼 了！ 
str_surrender_offer_cunning|我 投 降！ 我 向 你 投 降！ 
str_surrender_offer_sadistic|我 投 降！ 我 投 降！ 叫 你 的 走 狗 停 手 吧！ 
str_surrender_offer_goodnatured|我 投 降！ 祝 賀 你， 你 贏 了， {先 生/夫 人}！ 
str_surrender_offer_upstanding|我 投 降！ 保 證 我 軍 人 的 榮 譽， 也 請 你 遵 守 信 用！ 
str_lord_declines_negotiation_offer_default|也 許 吧， 不 過 我 想 跟 你 打 
str_lord_declines_negotiation_offer_martial|也 許 吧， 不 過 我 有 義 務 跟 你 打 一 仗 
str_lord_declines_negotiation_offer_quarrelsome|嘿！ 我 要 和 你 打 
str_lord_declines_negotiation_offer_pitiless|我 何 必 關 心 這 個 呢？ 我 想 跟 你 打 
str_lord_declines_negotiation_offer_cunning|哈， 真 不 幸， 你 知 道 嗎， 我 想 跟 你 打 
str_lord_declines_negotiation_offer_sadistic|收 好 你 的 舌 頭！ 很 快 你 就 會 需 要 用 到 它 的， 當 你 求 饒 的 時 候 
str_lord_declines_negotiation_offer_goodnatured|不 好 意 思— — 我 可 不 能 讓 你 就 這 麼 離 開。 你 不 會 見 怪 吧？ 
str_lord_declines_negotiation_offer_upstanding|也 許 吧， 不 過 出 於 對 國 王 的 義 務， 我 必 須 和 你 打 
str_prisoner_released_default|我 很 感 激 你， {先 生/夫 人}， 我 不 會 忘 記 你 的 恩 情 的。 
str_prisoner_released_martial|你 確 實 是 一 個 值 得 尊 敬 的 {人/人}， {先 生/夫 人}。 我 不 會 忘 記 你 的 恩 情 的。 
str_prisoner_released_quarrelsome|我 自 由 了？ 呃… … 那， 再 見 吧。 
str_prisoner_released_pitiless|謝 謝 你。 當 你 最 終 被 打 敗 的 時 候， 我 就 讓 你 死 得 痛 快 一 些。 除 非… … 除 非 你 願 意 加 入 我 們… … 再 見 了。 
str_prisoner_released_cunning|我？ 你 是 一 個 善 良 的 {人/人}。 我 以 後 會 想 個 方 法 報 答 你 的。 
str_prisoner_released_sadistic|我？ 你 的 殘 酷 表 現 得 多 優 雅 啊， 寧 願 看 到 我 自 由 並 受 到 羞 辱， 也 不 願 看 到 我 關 在 枷 鎖 裡。 你 就 自 己 耀 武 揚 威 吧！ 
str_prisoner_released_goodnatured|你 確 實 是 一 個 值 得 尊 敬 的 {人/人}， {先 生/夫 人}。 我 不 會 忘 記 你 的 恩 情 的。 
str_prisoner_released_upstanding|你 確 實 是 一 個 值 得 尊 敬 的 {人/人}， {先 生/夫 人}。 我 不 會 忘 記 你 的 恩 情 的。 
str_enemy_meet_default|敢 跟 我 較 量， 你 是 誰 啊？ 
str_enemy_meet_martial|你 叫 什 麼 名 字 {先 生/夫 人}？ 如 果 我 們 開 戰 了， 我 要 知 道 我 是 和 誰 在 打 仗。 
str_enemy_meet_quarrelsome|你 他 媽 的 是 誰？ 
str_enemy_meet_pitiless|你 是 誰？ 快 說， 好 讓 我 知 道 我 殺 的 是 誰。 
str_enemy_meet_cunning|告 訴 我 你 的 名 字。 了 解 敵 人 的 名 字 總 是 有 好 處 的。 
str_enemy_meet_sadistic|你 是 誰？ 趁 我 還 沒 有 割 掉 你 的 舌 頭 之 前 快 點 說。 
str_enemy_meet_goodnatured|你 叫 什 麼 名 字 {先 生/夫 人}？ 如 果 我 們 開 戰 了， 我 要 知 道 我 是 和 誰 在 打 仗。 
str_enemy_meet_upstanding|你 是 誰？ 我 想 知 道 是 誰 想 用 武 力 阻 止 我 們 正 義 的 事 業。 
str_battle_won_default|今 天， 你 證 明 了 你 自 己 是 一 個 可 靠 的 盟 友。 
str_battle_won_martial|沒 有 什 麼 比 在 戰 場 上 展 現 個 人 的 勇 武 更 加 有 成 就 感！ 
str_battle_won_quarrelsome|啊 哈， 我 們 好 好 教 訓 了 這 些 混 蛋 了， 是 吧？ 
str_battle_won_pitiless|我 們 只 要 聯 合 起 來， 就 能 讓 敵 人 聞 風 喪 膽！ 
str_battle_won_cunning|現 在， 我 們 得 保 持 我 們 的 優 勢， 那 樣 我 們 今 天 的 鮮 血 就 不 算 白 流。 
str_battle_won_sadistic|現 在 讓 我 們 剝 光 這 些 屍 體 丟 去 喂 烏 鴉， 好 讓 他 們 知 道 對 抗 我 們 的 人 將 會 是 什 麼 下 場。 
str_battle_won_goodnatured|這 一 仗 打 得 不 錯！ 沒 有 什 麼 比 打 了 勝 仗 更 加 令 人 高 興， 是 吧？ 
str_battle_won_upstanding|現 在， 讓 我 們 感 謝 上 帝 讓 我 們 獲 勝， 同 時 讓 我 們 也 沉 痛 悼 念 那 些 今 天 在 戰 場 上 犧 牲 的 戰 友。 
str_battle_won_grudging_default|今 天， 你 在 戰 場 上 幫 忙 扭 轉 了 局 勢。 不 管 我 怎 麼 樣 看 你， 不 過 你 的 勇 武 是 無 可 挑 剔 的。 
str_battle_won_grudging_martial|{playername}， 不 管 你 以 前 做 得 怎 樣， 但 是 今 天 你 證 明 了 你 是 一 個 有 價 值 的 {人/人}。 
str_battle_won_grudging_quarrelsome|哼， 我 通 常 都 不 想 看 到 你 的 那 張 臉， 但 是 我 今 天 還 是 得 感 謝 你 的 幫 忙。 
str_battle_won_grudging_pitiless|你 今 天 的 幫 忙 很 受 用。 我 完 全 沒 有 想 到 你 會 這 麼 好 心 地 來 幫 我， 但 是 我 還 是 得 謝 謝 你。 
str_battle_won_grudging_cunning|你 在 我 最 需 要 幫 忙 的 時 候 來 幫 了 我， 如 果 我 不 感 謝 你， 我 就 顯 的 太 不 厚 道 了。 所 以… … 我 很 感 激 你。 
str_battle_won_grudging_sadistic|啊！ 多 麼 令 人 感 動 啊！ {playername}居 然 來 救 我 了。 
str_battle_won_grudging_goodnatured|{playername}！ 我 不 想 說 過 去 我 們 相 處 得 如 何， 但 是 你 今 天 在 戰 場 上 的 表 現 不 錯。 非 常 感 謝 你！ 
str_battle_won_grudging_upstanding|也 許 過 去 我 對 你 有 些 誤 解。 你 的 到 來 非 常 及 時。 我 很 感 激 你。 
str_battle_won_unfriendly_default|你 來 了。 好 吧， 我 認 為 晚 點 來 總 比 不 來 的 好。 
str_battle_won_unfriendly_martial|我 以 前 對 你 說 了 很 多 難 聽 且 尖 銳 的 話， 但 是 現 在， 就 讓 我 們 享 受 勝 利 的 喜 悅 吧。 
str_battle_won_unfriendly_quarrelsome|如 果 你 站 在 這 裡 想 等 我 來 感 謝 你， 你 可 以 繼 續 等 下 去。 我 們 根 本 不 需 要 你 的 幫 忙， 但 是 我 想 比 起 這 個 你 也 沒 有 什 麼 別 的 事 情 好 做 了， 是 吧？ 
str_battle_won_unfriendly_pitiless|你 到 這 裡 來 就 像 是 一 頭 豺 狼 來 搶 獅 子 的 口 食。 很 好， 你 自 己 拿 吧， 我 不 會 阻 止 你 的。 
str_battle_won_unfriendly_cunning|{playername}… … 雖 然 我 不 打 算 裝 出 一 副 我 很 喜 歡 見 到 你 的 樣 子， 但 是 我 認 為 你 的 到 來 沒 有 危 害。 
str_battle_won_unfriendly_sadistic|滾 開， 吃 腐 肉 的 禽 獸！ 這 是 我 個 人 的 勝 利， 你 竟 然 想 竊 取 我 的 勝 利 果 實。 
str_battle_won_unfriendly_goodnatured|哦， 是 你 啊。 好 吧， 我 認 為 我 應 該 感 謝 你 的 幫 助。 
str_battle_won_unfriendly_upstanding|謝 謝 你 過 來 幫 忙。 現 在 在 我 要 說 出 一 些 會 令 我 後 悔 的 話 之 前， 我 得 離 開 了。 
str_troop_train_request_default|我 需 要 像 你 這 樣 的 人 把 他 們 訓 練 得 像 個 樣 子。 
str_troop_train_request_martial|他 們 需 要 有 人 向 他 們 展 示 一 下 勇 猛 的 含 義。 
str_troop_train_request_quarrelsome|又 肥 又 懶 的 雜 種。 他 們 讓 我 想 吐。 
str_troop_train_request_pitiless|他 們 怕 敵 人 勝 過 怕 我， 但 以 後 不 會 這 樣。 
str_troop_train_request_cunning|但 是 人 就 像 劍 一 樣， 經 過 火 的 鍛 煉 才 能 變 得 堅 強 起 來。 
str_troop_train_request_sadistic|他 們 需 要 有 人 拿 著 鐵 鞭 在 他 們 背 後 抽 打 以 激 起 他 們 的 勇 氣， 或 者 扼 殺 他 們 的 努 力。 
str_troop_train_request_goodnatured|他 們 是 不 錯 的 小 伙 子， 但 是 我 認 為 現 在 讓 他 們 上 戰 場 好 像 太 早 了。 
str_troop_train_request_upstanding|以 他 們 現 在 的 狀 況 帶 領 他 們 去 打 仗 的 話， 等 於 是 要 我 謀 殺 他 們。 
str_unprovoked_attack_default|什 麼？ 為 什 麼 你 要 攻 擊 我 們？ 快 講， 你 這 個 混 蛋！ 
str_unprovoked_attack_martial|我 不 反 對 使 用 武 力 解 決 問 題， 但 是 我 要 問 你 為 什 麼 攻 擊 我 們？ 
str_unprovoked_attack_quarrelsome|你 犯 了 一 個 大 錯 誤， {小 伙 子/小 姑 娘}。 你 知 道 你 在 干 什 麼 嗎？ 
str_unprovoked_attack_pitiless|是 嗎？ 如 果 你 今 天 想 死 的 話， 我 將 很 高 興 成 全 你。 但 是 我 很 想 了 解 你 到 底 有 何 目 的。 
str_unprovoked_attack_cunning|真 的 嗎？ 我 認 為 你 的 做 法 很 不 明 智。 你 想 從 中 得 到 什 麼 呢？ 
str_unprovoked_attack_sadistic|你 在 干 什 麼？ 你 喜 歡 你 的 眼 睛 被 挖 出 來 嗎？ 
str_unprovoked_attack_goodnatured|為 什 麼 你 要 這 麼 做？ 我 們 似 乎 沒 有 仇 啊， {先 生/夫 人}。 
str_unprovoked_attack_upstanding|我 認 為 這 是 一 個 無 故 的 襲 擊， 我 要 向 你 的 國 王 抗 議。 你 為 什 麼 要 這 麼 做？ 
str_unnecessary_attack_default|不 是 時 間 緊 的 話， 我 將 毫 不 猶 豫 地 砍 翻 你， 但 是 我 給 你 機 會， 你 現 在 就 從 這 裡 消 失。 
str_unnecessary_attack_martial|我 非 常 渴 望 接 受 你 的 挑 戰， {先 生/夫 人}， 然 而 我 還 是 要 給 你 一 分 鐘 的 時 候 考 慮 一 下。 
str_unnecessary_attack_quarrelsome|呸！ 今 天 我 沒 有 心 情 跟 你 胡 鬧， 滾 開。 
str_unnecessary_attack_pitiless|我 今 天 心 情 很 好， 我 就 裝 做 沒 有 聽 見 你 說 的 話。 
str_unnecessary_attack_cunning|我 沒 有 看 出 你 與 我 為 敵 能 得 到 什 麼 好 處。 也 許 你 應 該 騎 著 馬 從 我 面 前 走 開。 
str_unnecessary_attack_sadistic|我 不 想 把 時 間 浪 費 到 你 這 樣 的 鼠 輩 上， 滾 開。 
str_unnecessary_attack_goodnatured|我 沒 有 看 出 你 挑 起 戰 爭 能 得 到 什 麼 好 處， {先 生/夫 人}， 你 還 是 走 開 吧。 
str_unnecessary_attack_upstanding|如 果 你 想 打 的 話， {先 生/夫 人}， 那 我 就 成 全 你， 但 我 還 是 給 你 打 消 這 個 念 頭 的 機 會。 
str_lord_challenged_default|如 你 所 願， 准 備 去 死 吧！ 
str_lord_challenged_martial|好 吧， 准 備 自 衛 吧！ 
str_lord_challenged_quarrelsome|你， 放 肆 的 家 伙！ 我 要 你 將 你 碎 屍 萬 段！ 
str_lord_challenged_pitiless|如 果 你 一 心 要 找 死 的 話， 那 我 也 只 能 成 全 你。 
str_lord_challenged_cunning|好 吧， 如 果 你 不 給 我 機 會… … 
str_lord_challenged_sadistic|你 這 個 肮 髒 的 家 伙！ 我 會 讓 你 希 望 自 己 沒 有 出 生 在 這 個 世 界 上。 
str_lord_challenged_goodnatured|很 好。 我 本 希 望 我 們 可 以 避 免 戰 鬥， 但 是 我 明 白 那 是 不 可 能 的 了。 
str_lord_challenged_upstanding|就 這 樣 吧。 你 不 去 了 解 原 因 令 我 感 到 悲 哀。 
str_lord_mission_failed_default|好 吧， 我 很 失 望， 但 是 我 確 信 你 以 後 會 有 很 多 機 會 去 彌 補 你 的 過 失。 
str_lord_mission_failed_martial|試 圖 為 你 的 任 務 失 敗 找 理 由 是 不 光 榮 的， 但 我 還 是 接 受 你 所 說 的。 
str_lord_mission_failed_quarrelsome|你 失 敗 了？ 呸！ 我 早 就 該 猜 到 會 是 這 樣 的。 
str_lord_mission_failed_pitiless|你 失 敗 了？ 好 吧， 你 令 我 感 到 很 失 望。 你 做 事 太 欠 考 慮 了。 
str_lord_mission_failed_cunning|好 吧， 我 很 失 望， 但 是 沒 有 人 能 保 證 總 是 順 風 順 水 的。 
str_lord_mission_failed_sadistic|真 的 嗎？ 那 些 令 我 失 望 的 人， 我 通 常 都 不 會 讓 他 們 活 著 為 此 事 後 悔 的。 
str_lord_mission_failed_goodnatured|哦， 好 吧。 不 管 怎 麼 說， 那 件 事 成 功 的 希 望 不 大。 謝 謝 你 付 出 的 努 力。 
str_lord_mission_failed_upstanding|很 好， 我 確 信 你 已 經 盡 全 力 了。 
str_lord_follow_refusal_default|跟 隨 你？ 你 忘 了 你 的 身 份 了 吧， {先 生/夫 人}。 
str_lord_follow_refusal_martial|也 許 有 一 天 你 能 成 為 一 個 勇 敢 且 值 得 尊 敬 的 戰 士， 那 時 候 我 將 跟 隨 你。 但 是 不 是 今 天。 
str_lord_follow_refusal_quarrelsome|跟 隨 像 你 這 樣 的 人？ 我 可 不 想 這 麼 做。 
str_lord_follow_refusal_pitiless|像 我 這 樣 的 領 主 不 會 跟 隨 像 你 這 樣 的 人， {先 生/夫 人}。 
str_lord_follow_refusal_cunning|首 先 你 要 向 我 證 明 一 下 你 不 是 那 種 會 把 我 帶 進 災 難 的 {人/人}， 然 後 我 也 許 會 跟 隨 你。 
str_lord_follow_refusal_sadistic|不 行！ 相 反， 你 得 跟 著 我 就 像 條 被 調 教 的 惡 狗 跟 著 它 主 人 一 樣。 
str_lord_follow_refusal_goodnatured|呃， 我 現 在 正 好 有 任 務 在 身。 以 後 再 說 吧。 
str_lord_follow_refusal_upstanding|你 得 先 證 明 你 是 個 好 的 領 導 者， 然 後 我 才 會 跟 著 你。 
str_lord_insult_default|低 級 混 混 
str_lord_insult_martial|不 光 彩 的 流 氓 
str_lord_insult_quarrelsome|道 德 敗 壞 的 雜 種 
str_lord_insult_pitiless|出 身 低 微 的 小 人 物 
str_lord_insult_cunning|粗 心 的 白 痴 
str_lord_insult_sadistic|流 鼻 涕 的 壞 蛋 
str_lord_insult_goodnatured|討 厭 的 家 伙 
str_lord_insult_upstanding|可 恥 的 惡 棍 
str_lord_derogatory_default|卑 鄙 惡 劣 的 
str_lord_derogatory_martial|頑 固 任 性 的 
str_lord_derogatory_quarrelsome|好 辯， 喜 歡 挑 撥 離 間 的 
str_lord_derogatory_pitiless|殘 忍 暴 虐 的 
str_lord_derogatory_cunning|不 擇 手 段， 善 於 權 謀 的 
str_lord_derogatory_sadistic|無 恥 下 作 的 
str_lord_derogatory_goodnatured|無 可 救 藥 的 天 真 
str_lord_derogatory_upstanding|冥 頑 不 靈， 道 貌 岸 然 的 
str_lord_derogatory_result|帶 來 毀 滅 的 
str_lord_derogatory_martial_action|魯 莽 無 謀， 輕 擲 士 卒 性 命 
str_lord_derogatory_quarrelsome_action|挑 釁 同 僚， 孤 家 寡 人 
str_lord_derogatory_pitiles_action|輕 慢 百 姓 士 卒， 激 起 民 亂 嘩 變 
str_lord_derogatory_cunning_action|私 通 敵 寇 
str_lord_derogatory_sadistic_action|讓 王 國 與 大 業 蒙 羞 
str_lord_derogatory_goodnatured_action|婦 人 之 仁， 畏 敵 懼 戰 
str_lord_derogatory_upstanding_action|將 個 人 過 分 的 榮 譽 感 置 於 王 國 的 需 要 之 上 
str_rebellion_dilemma_martial|{s45}顯 然 搞 錯 了。 雖 然 我 向 {s46}宣 誓， 但 如 果 他 的 王 位 是 篡 奪 而 來 的 話， 這 並 不 能 約 束 我 一 定 得 幫 助 他。 
str_rebellion_dilemma_quarrelsome|嗯。 {s46}從 來 沒 有 給 我 我 應 得 的 東 西， 所 以 我 並 不 認 為 我 欠 他 很 多。 無 論 如 何， 也 許 {s45}不 是 更 好， 而 {s46}至 少 人 們 都 知 道。 
str_rebellion_dilemma_pitiless|嗯。 {s45}說 他 是 真 正 的 王 位 繼 承 人。 這 很 好— — 這 讓 我 對 {s46}不 再 忠 誠。 但 我 還 是 得 仔 細 掂 量 我 的 決 定。 
str_rebellion_dilemma_cunning|嗯。 我 向 {s46}宣 誓 效 忠， 對 於 我 們 這 些 普 通 人 來 說， 那 樣 的 誓 言 並 沒 有 什 麼 力 量。 我 們 的 責 任 是 用 我 們 自 己 的 才 能 管 理， 不 折 不 扣 執 行 命 令， 以 及 防 止 所 有 可 能 的 戰 爭 
str_rebellion_dilemma_sadistic|嗯。 在 這 個 壞 透 了 的 世 界， 一 個 賢 人 必 須 要 為 他 自 己 考 慮， 就 和 其 他 人 一 樣。 那 麼— — 從 這 裡 面 我 能 得 到 什 麼？ 
str_rebellion_dilemma_goodnatured|我 不 知 道 該 說 什 麼。 我 向 {s46}宣 誓 認 可 他 為 法 定 的 統 治 者， 但 如 果 他 不 是 法 定 的 統 治 者， 我 不 知 道 我 是 否 還 受 誓 言 的 限 制。 
str_rebellion_dilemma_upstanding|很 麻 煩。 宣 布 我 對 {s46}的 效 忠 無 效 且 沒 用 是 件 很 嚴 重 的 事 情， 而 解 除 聯 盟 會 讓 我 們 的 領 地 從 沒 落 成 為 無 政 府 狀 態。 我 還 是 保 證 會 支 持 繼 承 的 合 法， 而 {s45}依 然 對 王 位 擁 有 有 效 的 主 張。 
str_rebellion_dilemma_2_martial|另 一 方 面， {s46}曾 經 領 導 著 我 們， 而 我 討 厭 背 信 棄 義。 
str_rebellion_dilemma_2_quarrelsome|那 麼 告 訴 我， 我 為 什 麼 要 對 我 所 認 識 的 {reg3?人:那 雜 種} 倒 戈， 讓 我 所 不 認 識 的 {reg3?人:那 雜 種} 獲 利？ 
str_rebellion_dilemma_2_pitiless|被 詢 問 我 將 立 誰 為 這 片 領 土 的 {reg3?統 治 者:國 王}， 會 讓 我 處 於 一 種 非 常 危 險 的 境 地。 然 而 那 也 將 成 為 大 好 的 時 機， 對 我 來 說 獲 取 回 報 也 是 我 的 權 益！ 
str_rebellion_dilemma_2_cunning|{s46}已 被 質 疑， 因 此 他 將 不 能 像 那 些 統 治 權 沒 有 被 質 疑 的 人 那 樣 政 權 穩 定。 然 而 如 果 {s45}用 武 力 取 得 王 位， {reg3?她:他} 將 不 會 像 那 些 和 平 取 得 王 位 的 人 那 樣 政 權 穩 定。 
str_rebellion_dilemma_2_sadistic|如 果 我 在 {reg3?她:他} 還 暗 弱 的 時 候 加 入 {s45}， {reg3?她:他} 將 讓 我 發 一 筆， 但 如 果 我 把 你 的 人 頭 帶 給 {s46}他 將 給 我 更 多 的 回 報。 
str_rebellion_dilemma_2_goodnatured|{s46}待 我 不 薄， 然 而 他 的 確 對 {s45}做 的 不 對。 我 在 猶 豫 斷 絕 我 對 {s46}的 效 忠， 然 而 我 還 是 不 認 為 支 持 非 正 義 的 一 方 是 正 確 的。 
str_rebellion_dilemma_2_upstanding|我 覺 得 我 必 須 為 了 領 地 盡 力 做 任 何 事 情， 來 避 免 它 因 為 內 戰 而 被 敵 人 掠 奪 並 且 荒 廢 掉。 
str_political_philosophy_martial|我 的 劍 只 為 合 法 的 國 王 而 揮， 前 提 是 他 保 證 盡 到 對 我 的 義 務。 
str_political_philosophy_quarrelsome|呸， 他 們 是 一 群 混 蛋。 我 會 讓 干 我 壞 事 的 人 覺 得 後 悔 的。 
str_political_philosophy_pitiless|人 們 總 是 試 圖 騙 取 別 人 應 得 的 東 西。 在 這 個 毫 無 誠 信 可 言 的 世 界 上， 每 個 人 都 要 警 惕 的 看 管 好 屬 於 自 己 的 權 利。 
str_political_philosophy_cunning|好 吧， 這 個 世 界 是 殘 酷 的， 面 對 殘 酷 的 選 擇 是 我 們 的 宿 命。 有 時 候 一 個 人 需 要 侍 奉 暴 君 以 維 護 和 平， 而 有 時 候 一 點 兒 必 要 的 叛 亂 才 能 讓 君 王 保 持 公 正。 總 之， 時 勢 就 是 一 切。 
str_political_philosophy_sadistic|我 的 哲 學 很 簡 單： 做 狼 好 過 做 羊。 
str_political_philosophy_goodnatured|好 吧， 你 必 須 用 承 諾 來 堅 定 信 仰， 並 且 避 免 待 人 不 公。 有 時 候， 要 想 平 衡 各 方 確 實 很 難。 我 覺 得， 跟 你 信 任 的 人 站 在 一 邊， 這 就 不 至 於 錯 得 太 離 譜。 
str_political_philosophy_upstanding|國 王 和 貴 族 的 權 力 應 該 被 用 來 維 護 和 平， 避 免 所 有 人 相 互 對 抗， 然 而 又 不 能 蒙 蔽 人 民， 讓 他 們 看 不 到 不 公 正 的 地 方。 
str_political_philosophy_roguish|嗯… … 我 覺 得 當 個 領 主 應 該 還 不 錯 吧。 
str_political_philosophy_benefactor|一 個 好 的 統 治 者， 懂 得 對 所 有 臣 民 都 公 正 無 私。 就 個 人 來 說， 我 打 算 用 我 的 權 力， 讓 生 活 在 我 的 領 地 裡 的 人 們 過 得 更 好。 
