trp_multiplayer_profile_troop_male|聯 機 男 性 玩 家 角 色 
trp_knight_30_1_pl|基 裡 爾 
trp_knight_30_2|米 哈 伊 爾 波 雅 爾 
trp_knight_30_2_pl|米 哈 伊 爾 
trp_knight_30_3|阿 塔 納 斯 波 雅 爾 
trp_knight_30_3_pl|阿 塔 納 斯 
trp_knight_30_4|安 東 波 雅 爾 
trp_knight_30_4_pl|安 東 波 
trp_knight_30_5|阿 森 波 雅 爾 
trp_knight_30_5_pl|阿 森 
trp_knight_30_6|鮑 裡 斯 波 雅 爾 
trp_knight_30_6_pl|鮑 裡 斯 
trp_knight_30_7|鮑 裡 斯 拉 夫 波 雅 爾 
trp_knight_30_7_pl|鮑 裡 斯 拉 夫 
trp_knight_30_8|布 拉 尼 米 爾 波 雅 爾 
trp_knight_30_8_pl|布 拉 尼 米 爾 
trp_knight_30_9|德 拉 戈 米 爾 波 雅 爾 
trp_knight_30_9_pl|德 拉 戈 米 爾 
trp_knight_30_10|伊 利 亞 波 雅 爾 
trp_knight_30_10_pl|伊 利 亞 
trp_knight_31_1|穆 罕 默 德 酋 長 
trp_knight_31_1_pl|穆 罕 默 德 
trp_knight_31_2|艾 哈 邁 德 酋 長 
trp_knight_31_2_pl|艾 哈 邁 德 
trp_knight_31_3|阿 裡 酋 長 
trp_knight_31_3_pl|阿 裡 
trp_knight_31_4|易 蔔 拉 辛 酋 長 
trp_knight_31_4_pl|易 蔔 拉 辛 
trp_knight_31_5|葉 哈 雅 酋 長 
trp_knight_31_5_pl|葉 哈 雅 
trp_knight_31_6|烏 馬 爾 酋 長 
trp_knight_31_6_pl|烏 馬 爾 
trp_knight_31_7|伊 斯 哈 格 酋 長 
trp_knight_31_7_pl|伊 斯 哈 格 
trp_knight_31_8|薩 義 德 酋 長 
trp_knight_31_8_pl|薩 義 德 
trp_knight_31_9|賈 法 爾 酋 長 
trp_knight_31_9_pl|賈 法 爾 
trp_knight_31_10|阿 蔔 杜 勒· 拉 赫 曼 酋 長 
trp_knight_31_10_pl|阿 蔔 杜 勒· 拉 赫 曼 
trp_knight_31_11|伊 斯 梅 爾 酋 長 
trp_knight_31_11_pl|伊 斯 梅 爾 
trp_knight_31_12|蘇 萊 曼 酋 長 
trp_knight_31_12_pl|蘇 萊 曼 
trp_knight_31_13|尤 素 夫 酋 長 
trp_knight_31_13_pl|尤 素 夫 
trp_knight_31_14|薩 利 赫 酋 長 
trp_knight_31_14_pl|薩 利 赫 
trp_knight_31_15|葉 齊 德 酋 長 
trp_knight_31_15_pl|葉 齊 德 
trp_knight_32_1|羅 倫 佐· 提 埃 坡 羅 
trp_knight_32_1_pl|羅 倫 佐· 提 埃 坡 羅
trp_knight_32_2|雅 各 布· 康 塔 裡 尼 
trp_knight_32_2_pl|雅 各 布· 康 塔 裡 尼 
trp_knight_32_3|喬 萬 尼· 丹 多 羅 
trp_knight_32_3_pl|喬 萬 尼· 丹 多 羅 
trp_knight_32_4|安 格 洛· 薩 努 多 
trp_knight_32_4_pl|安 格 洛· 薩 努 多 
trp_knight_32_5|吉 爾 伯 特· 薩 努 多 
trp_knight_32_5_pl|吉 爾 伯 特· 薩 努 多 
trp_knight_32_6|克 勞 迪 奧· 提 埃 坡 羅 
trp_knight_32_6_pl|克 勞 迪 奧· 提 埃 坡 羅 
trp_knight_32_7|卡 斯 奧· 薩 努 多 
trp_knight_32_7_pl|卡 斯 奧· 薩 努 多 
trp_knight_32_8|艾 德 瓦 爾 多· 索 蘭 佐 
trp_knight_32_8_pl|艾 德 瓦 爾 多· 索 蘭 佐 
trp_knight_32_9|埃 米 裡 歐· 索 蘭 佐 
trp_knight_32_9_pl|埃 米 裡 歐· 索 蘭 佐 
trp_knight_32_10|巴 巴 裡 格· 威 尼 亞 
trp_knight_32_10_pl|巴 巴 裡 格· 威 尼 亞 
trp_knight_35_1|格 魯 菲 德 達 非 德 之 子 格 魯 菲 德
trp_knight_35_1_pl|格 魯 菲 德 達 非 德 之 子 格 魯 菲 德
trp_knight_35_2|馬 雷 都 德 之 子 “咆 哮 者”瑞 斯 
trp_knight_35_2_pl|馬 雷 都 德 之 子 “咆 哮 者”瑞 斯 
trp_knight_35_3|馬 雷 都 德 之 子 歐 文 
trp_knight_35_3_pl|馬 雷 都 德 之 子 歐 文 
trp_kingdom_2_pretender|道 曼 塔 斯 公 爵 
trp_kingdom_2_pretender_pl|道 曼 塔 斯 
trp_kingdom_4_pretender|Danish pretender placeholder
trp_kingdom_4_pretender_pl|Danish pretender placeholder
trp_kingdom_9_pretender|“格 溫 內 思 領 主”格 魯 福 德 的 盧 埃 林 
trp_kingdom_9_pretender_pl|格 魯 福 德 的 盧 埃 林 
trp_kingdom_12_pretender|Norwegian pretender placeholder
trp_kingdom_12_pretender_pl|Norwegian pretender placeholder
trp_kingdom_13_pretender|“愛 爾 蘭 的 正 義 審 判 者”奧 德 利 的 詹 姆 斯 
trp_kingdom_13_pretender_pl|奧 德 利 的 詹 姆 斯 
trp_knight_1_1_wife|Error - knight 1 1 wife should not appear in game
trp_knight_1_1_wife_pl|knight 1 1 wife
trp_kingdom_2_lady_1|奧 德 拉 女 士 
trp_kingdom_2_lady_1_pl|奧 德 拉 
trp_kingdom_2_lady_2|奧 什 拉 女 士 
trp_kingdom_2_lady_2_pl|奧 什 拉 
trp_kingdom_2_lady_3|比 魯 特 女 士 
trp_kingdom_2_lady_3_pl|比 魯 特 
trp_kingdom_2_lady_4|吉 艾 德 蕾 女 士 
trp_kingdom_2_lady_4_pl|吉 艾 德 蕾 
trp_kingdom_2_lady_5|金 塔 蕾 女 士 
trp_kingdom_2_lady_5_pl|金 塔 蕾 
trp_kingdom_2_lady_6|伊 愛 娃 女 士 
trp_kingdom_2_lady_6_pl|伊 愛 娃 
trp_kingdom_2_lady_7|萊 瑪 女 士 
trp_kingdom_2_lady_7_pl|萊 瑪 
trp_kingdom_2_lady_8|麗 姆 蓋 萊 女 士 
trp_kingdom_2_lady_8_pl|麗 姆 蓋 萊 
trp_kingdom_2_lady_9|莫 爾 塔 女 士 
trp_kingdom_2_lady_9_pl|莫 爾 塔 
trp_kingdom_2_lady_10|艾 格 萊 女 士 
trp_kingdom_2_lady_10_pl|艾 格 萊 
trp_kingdom_2_lady_11|嘉 碧 婭 女 士 
trp_kingdom_2_lady_11_pl|嘉 碧 婭 
trp_kingdom_2_lady_12|達 努 特 女 士 
trp_kingdom_2_lady_12_pl|達 努 特 
trp_kingdom_2_lady_13|米 爾 達 女 士 
trp_kingdom_2_lady_13_pl|米 爾 達 
trp_kingdom_2_lady_14|拉 莎 女 士 
trp_kingdom_2_lady_14_pl|拉 莎 
trp_kingdom_2_lady_15|絲 娃 約 內 女 士 
trp_kingdom_2_lady_15_pl|絲 娃 約 內 
trp_kingdom_3_lady_1|保 兒 該 女 士 
trp_kingdom_3_lady_1_pl|保 兒 該 
trp_kingdom_3_lady_2|圖 安 女 士 
trp_kingdom_3_lady_2_pl|圖 安 
trp_kingdom_3_lady_3|瑪 赫 拉 茲 女 士 
trp_kingdom_3_lady_3_pl|瑪 赫 拉 茲 
trp_kingdom_3_lady_4|阿 婭 蘇 女 士 
trp_kingdom_3_lady_4_pl|阿 婭 蘇 
trp_kingdom_3_lady_5|拉 雯 女 士 
trp_kingdom_3_lady_5_pl|拉 雯 
trp_kingdom_3_lady_6|露 哈 女 士 
trp_kingdom_3_lady_6_pl|露 哈 
trp_kingdom_3_lady_7|切 迪 娜 女 士 
trp_kingdom_3_lady_7_pl|切 迪 娜 
trp_kingdom_3_lady_8|凱 芙 拉 女 士 
trp_kingdom_3_lady_8_pl|凱 芙 拉 
trp_kingdom_3_lady_9|妮 爾 娃 茲 女 士 
trp_kingdom_3_lady_9_pl|妮 爾 娃 茲
trp_kingdom_3_lady_10|杜 勒 娃 女 士 
trp_kingdom_3_lady_10_pl|杜 勒 娃 
trp_kingdom_3_lady_11|賽 麗 科 女 士 
trp_kingdom_3_lady_11_pl|賽 麗 科 
trp_kingdom_3_lady_12|塔 拉 塔 女 士 
trp_kingdom_3_lady_12_pl|塔 拉 塔 
trp_kingdom_3_lady_13|雅 斯 琳 女 士 
trp_kingdom_3_lady_13_pl|雅 斯 琳 
trp_kingdom_3_lady_14|娜 德 哈 女 士 
trp_kingdom_3_lady_14_pl|娜 德 哈 
trp_kingdom_3_lady_15|澤 努 兒 女 士 
trp_kingdom_3_lady_15_pl|澤 努 兒 
trp_kingdom_3_lady_16|阿 兒 吉 絲 女 士 
trp_kingdom_3_lady_16_pl|阿 兒 吉 絲 
trp_kingdom_3_lady_17|阿 特 扎 汗 女 士 
trp_kingdom_3_lady_17_pl|阿 特 扎 汗 
trp_kingdom_3_lady_18|呼 塔 拉 女 士 
trp_kingdom_3_lady_18_pl|呼 塔 拉 
trp_kingdom_3_lady_19|辛 達 兒 女 士 
trp_kingdom_3_lady_19_pl|辛 達 兒 
trp_kingdom_3_lady_20|包 勞 兒 瑪 女 士 
trp_kingdom_3_lady_20_pl|包 勞 兒 瑪 
trp_kingdom_4_lady_1|瑪 格 麗 特· 德 羅 特 寧 女 士 
trp_kingdom_4_lady_1_pl|瑪 格 麗 特· 德 羅 特 寧 
trp_kingdom_4_lady_2|米 艾 女 士 
trp_kingdom_4_lady_2_pl|米 艾 
trp_kingdom_4_lady_3|卓 娜 女 士 
trp_kingdom_4_lady_3_pl|卓 娜 
trp_kingdom_4_lady_4|綱 德 女 士 
trp_kingdom_4_lady_4_pl|綱 德 
trp_kingdom_4_lady_5|羅 卡 女 士 
trp_kingdom_4_lady_5_pl|羅 卡 
trp_kingdom_4_lady_6|波 瑞 女 士 
trp_kingdom_4_lady_6_pl|波 瑞 
trp_kingdom_4_lady_7|伊 瑞 女 士 
trp_kingdom_4_lady_7_pl|伊 瑞 
trp_kingdom_4_lady_8|英 格 芙 蕾 迪· 尼 爾 斯 多 特 女 士 
trp_kingdom_4_lady_8_pl|英 格 芙 蕾 迪· 尼 爾 斯 多 特 
trp_kingdom_4_lady_9|辛 德 女 士 
trp_kingdom_4_lady_9_pl|辛 德 
trp_kingdom_4_lady_10|波 美 拉 尼 亞 的 瑪 格 瑞 特 女 士 
trp_kingdom_4_lady_10_pl|波 美 拉 尼 亞 的 瑪 格 瑞 特 
trp_kingdom_4_lady_11|赫 亞 絲 女 士 
trp_kingdom_4_lady_11_pl|赫 亞 絲 
trp_kingdom_4_lady_12|瑟 希 莉· 尼 爾 斯 多 特 女 士 
trp_kingdom_4_lady_12_pl|瑟 希 莉· 尼 爾 斯 多 特 
trp_kingdom_4_lady_13|荷 爾 斯 泰 因 的 英 格 博 格 女 士 
trp_kingdom_4_lady_13_pl|荷 爾 斯 泰 因 的 英 格 博 格 
trp_kingdom_4_lady_14|卡 特 麗 女 士 
trp_kingdom_4_lady_14_pl|卡 特 麗 
trp_kingdom_4_lady_15|佩 特 爾 斯 多 特 的 “陌 生 人” 瑪 麗 安 妮 女 士 
trp_kingdom_4_lady_15_pl|佩 特 爾 斯 多 特 的 “陌 生 人” 瑪 麗 安 妮 
trp_kingdom_5_lady_1|博 格 達 娜 女 士 
trp_kingdom_5_lady_1_pl|博 格 達 娜 
trp_kingdom_5_lady_2|博 古 米 娃 女 士 
trp_kingdom_5_lady_2_pl|博 古 米 娃 
trp_kingdom_5_lady_3|博 萊 斯 瓦 女 士 
trp_kingdom_5_lady_3_pl|博 萊 斯 瓦 
trp_kingdom_5_lady_4|弗 絲 澤 波 拉 女 士 
trp_kingdom_5_lady_4_pl|弗 絲 澤 波 拉 
trp_kingdom_5_lady_5|拉 多 赫 娜 女 士 
trp_kingdom_5_lady_5_pl|拉 多 赫 娜 
trp_kingdom_5_lady_6|博 古 沃 拉 女 士 
trp_kingdom_5_lady_6_pl|博 古 沃 拉 
trp_kingdom_5_lady_7|博 萊 米 拉 女 士 
trp_kingdom_5_lady_7_pl|博 萊 米 拉 
trp_kingdom_5_lady_8|切 奇 拉 達 女 士 
trp_kingdom_5_lady_8_pl|切 奇 拉 達 
trp_kingdom_5_lady_9|多 布 拉 娃 女 士 
trp_kingdom_5_lady_9_pl|多 布 拉 娃 
trp_kingdom_5_lady_10|多 布 蘿 格 涅 娃 女 士 
trp_kingdom_5_lady_10_pl|多 布 蘿 格 涅 娃 
trp_kingdom_5_lady_11|多 布 蘿 沃 婭 女 士 
trp_kingdom_5_lady_11_pl|多 布 蘿 沃 婭 
trp_kingdom_5_lady_12|戈 德 琪 米 拉 女 士 
trp_kingdom_5_lady_12_pl|戈 德 琪 米 拉 
trp_kingdom_5_lady_13|伊 米 斯 瓦 娃 女 士 
trp_kingdom_5_lady_13_pl|伊 米 斯 瓦 娃 
trp_kingdom_5_lady_14|亞 蘿 米 拉 女 士 
trp_kingdom_5_lady_14_pl|亞 蘿 米 拉 
trp_kingdom_5_lady_15|卡 奇 梅 拉 女 士 
trp_kingdom_5_lady_15_pl|卡 奇 梅 拉 
trp_kingdom_6_lady_1|安 娜 女 士 
trp_kingdom_6_lady_1_pl|安 娜 
trp_kingdom_6_lady_2|內 爾 達 女 士 
trp_kingdom_6_lady_2_pl|內 爾 達 
trp_kingdom_6_lady_3|貝 拉 女 士 
trp_kingdom_6_lady_3_pl|貝 拉 
trp_kingdom_6_lady_4|艾 莉 娜 女 士 
trp_kingdom_6_lady_4_pl|艾 莉 娜 
trp_kingdom_6_lady_5|康 斯 坦 妮 絲 女 士 
trp_kingdom_6_lady_5_pl|康 斯 坦 妮 絲 
trp_kingdom_6_lady_6|薇 拉 女 士 
trp_kingdom_6_lady_6_pl|薇 拉 
trp_kingdom_6_lady_7|奧 貝 麗 娜 女 士 
trp_kingdom_6_lady_7_pl|奧 貝 麗 娜 
trp_kingdom_6_lady_8|蒂 芭 爾 女 士
trp_kingdom_6_lady_8_pl|蒂 芭 爾 
trp_kingdom_6_lady_9|瑪 佳 女 士 
trp_kingdom_6_lady_9_pl|瑪 佳 
trp_kingdom_6_lady_10|塞 朵 莎 女 士 
trp_kingdom_6_lady_10_pl|塞 朵 莎 
trp_kingdom_6_lady_11|梅 麗 莎 女 士 
trp_kingdom_6_lady_11_pl|梅 麗 莎 
trp_kingdom_6_lady_12|伊 瑞 娜 女 士 
trp_kingdom_6_lady_12_pl|伊 瑞 娜 
trp_kingdom_6_lady_13|菲 蕾 娜 女 士 
trp_kingdom_6_lady_13_pl|菲 蕾 娜 
trp_kingdom_6_lady_14|索 娜 德 爾 女 士 
trp_kingdom_6_lady_14_pl|索 娜 德 爾 
trp_kingdom_6_lady_15|鮑 迪 拉 女 士 
trp_kingdom_6_lady_15_pl|鮑 迪 拉 
trp_kingdom_6_lady_16|愛 莉 絲 女 士 
trp_kingdom_6_lady_16_pl|愛 莉 絲 
trp_kingdom_6_lady_17|約 翰 娜 女 士 
trp_kingdom_6_lady_17_pl|約 翰 娜 
trp_kingdom_6_lady_18|貝 爾 納 蒂 絲 女 士 
trp_kingdom_6_lady_18_pl|貝 爾 納 蒂 絲 
trp_kingdom_6_lady_19|恩 莉 卡 塔 女 士 
trp_kingdom_6_lady_19_pl|恩 莉 卡 塔 
trp_kingdom_6_lady_20|加 埃 塔 女 士 
trp_kingdom_6_lady_20_pl|加 埃 塔 
trp_kingdom_7_lady_1|奧 德 莉 恩 女 士 
trp_kingdom_7_lady_1_pl|奧 德 莉 恩 
trp_kingdom_7_lady_2|奧 吉 女 士 
trp_kingdom_7_lady_2_pl|奧 吉 
trp_kingdom_7_lady_3|艾 麥 舍 女 士 
trp_kingdom_7_lady_3_pl|艾 麥 舍 
trp_kingdom_7_lady_4|艾 妮 柯 女 士 
trp_kingdom_7_lady_4_pl|艾 妮 柯 
trp_kingdom_7_lady_5|多 洛 特 吉 奧 女 士 
trp_kingdom_7_lady_5_pl|多 洛 特 吉 奧 
trp_kingdom_7_lady_6|弗 露 日 伊 娜 女 士 
trp_kingdom_7_lady_6_pl|弗 露 日 伊 娜 
trp_kingdom_7_lady_7|瓊 吉 女 士 
trp_kingdom_7_lady_7_pl|瓊 吉 
trp_kingdom_7_lady_8|哈 伊 娜 爾 女 士 
trp_kingdom_7_lady_8_pl|哈 伊 娜 爾 
trp_kingdom_7_lady_9|伊 洛 娜 女 士 
trp_kingdom_7_lady_9_pl|伊 洛 娜 
trp_kingdom_7_lady_10|克 裡 斯 蒂 娜 女 士 
trp_kingdom_7_lady_10_pl|克 裡 斯 蒂 娜 
trp_kingdom_7_lady_11|瑪 格 多 爾 娜 女 士 
trp_kingdom_7_lady_11_pl|瑪 格 多 爾 娜 
trp_kingdom_7_lady_12|奧 爾 紹 爾 婭 女 士 
trp_kingdom_7_lady_12_pl|奧 爾 紹 爾 婭 
trp_kingdom_7_lady_13|奇 爾 拉 女 士 
trp_kingdom_7_lady_13_pl|奇 爾 拉 
trp_kingdom_7_lady_14|艾 奈 赫 女 士 
trp_kingdom_7_lady_14_pl|艾 奈 赫 
trp_kingdom_7_lady_15|弗 蘭 琪 絲 卡 女 士 
trp_kingdom_7_lady_15_pl|弗 蘭 琪 絲 卡 
trp_kingdom_8_lady_1|阿 廖 娜 女 士 
trp_kingdom_8_lady_1_pl|阿 廖 娜 
trp_kingdom_8_lady_2|阿 莉 婭 女 士 
trp_kingdom_8_lady_2_pl|阿 莉 婭 
trp_knight_8_lady_3|佳 莉 娜 女 士 
trp_knight_8_lady_3_pl|佳 莉 娜 
trp_knight_8_lady_4|伊 莉 娜 女 士 
trp_knight_8_lady_4_pl|伊 莉 娜 
trp_kingdom_8_lady_5|拉 麗 莎 女 士 
trp_kingdom_8_lady_5_pl|拉 麗 莎 
trp_kingdom_8_lady_6|路 德 米 拉 女 士
trp_kingdom_8_lady_6_pl|路 德 米 拉 
trp_kingdom_8_lady_7|娜 塔 莎 女 士 
trp_kingdom_8_lady_7_pl|娜 塔 莎 
trp_kingdom_8_lady_8|斯 溫 拉 娜 女 士
trp_kingdom_8_lady_8_pl|斯 溫 拉 娜 
trp_kingdom_8_lady_9|塔 亞 納 女 士
trp_kingdom_8_lady_9_pl|塔 亞 納 
trp_kingdom_8_lady_10|佐 雅 女 士
trp_kingdom_8_lady_10_pl|佐 雅 
trp_lord_9_wife|普 羅 旺 斯 女 王 埃 莉 諾 
trp_lord_9_wife_pl|lord 9 wife{***}
trp_knight_9_1_wife|英 格 蘭 公 主 埃 莉 諾 
trp_knight_9_1_wife_pl|knight 9 1 wife{***}
trp_knight_9_2_wife|“彭 布 羅 克 伯 爵 夫 人”慕 尼 黑 的 喬 安
trp_knight_9_2_wife_pl|knight 9 2 wife{***}
trp_knight_9_5_wife|萊 西 的 毛 德 女 士 
trp_knight_9_5_wife_pl|knight 9 5 wife{***}
trp_knight_9_6_wife|布 勞 瑟 的 毛 德 女 士 
trp_knight_9_6_wife_pl|knight 9 6 wife{***}
trp_knight_9_10_wife|呂 西 尼 昂 的 愛 麗 絲 女 士 
trp_knight_9_10_wife_pl|knight 9 10 wife{***}
trp_knight_9_12_wife|薩 伏 伊 的 阿 維 塔 女 士 
trp_knight_9_12_wife_pl|knight 9 12 wife{***}
trp_kingdom_9_lady_8|克 萊 拉 女 士 
trp_kingdom_9_lady_8_pl|克 萊 拉 
trp_kingdom_9_lady_9|克 裡 斯 蒂 娜 女 士 
trp_kingdom_9_lady_9_pl|克 裡 斯 蒂 娜 
trp_kingdom_9_lady_10|黛 安 娜 女 士 
trp_kingdom_9_lady_10_pl|黛 安 娜 
trp_kingdom_9_lady_11|伊 貝 塔 女 士 
trp_kingdom_9_lady_11_pl|伊 貝 塔 
trp_kingdom_9_lady_12|費 利 西 婭 女 士 
trp_kingdom_9_lady_12_pl|費 利 西 婭 
trp_kingdom_9_lady_13|海 倫 女 士 
trp_kingdom_9_lady_13_pl|海 倫 
trp_kingdom_9_lady_14|岡 尼 爾 德 女 士 
trp_kingdom_9_lady_14_pl|岡 尼 爾 德 
trp_kingdom_9_lady_15|居 諾 拉 女 士 
trp_kingdom_9_lady_15_pl|居 諾 拉 
trp_kingdom_9_lady_16|哈 森 特 女 士 
trp_kingdom_9_lady_16_pl|哈 森 特 
trp_kingdom_9_lady_17|伊 莎 貝 拉 女 士 
trp_kingdom_9_lady_17_pl|伊 莎 貝 拉 
trp_kingdom_9_lady_18|伊 索 爾 達 女 士 
trp_kingdom_9_lady_18_pl|伊 索 爾 達 
trp_kingdom_9_lady_19|馬 蒂 爾 迪 絲 女 士 
trp_kingdom_9_lady_19_pl|馬 蒂 爾 迪 絲 
trp_kingdom_9_lady_20|奎 妮 爾 女 士 
trp_kingdom_9_lady_20_pl|奎 妮 爾 
trp_kingdom_10_lady_1|阿 達 爾 嘉 迪 絲 女 士 
trp_kingdom_10_lady_1_pl|阿 達 爾 嘉 迪 絲 
trp_kingdom_10_lady_2|阿 德 萊 迪 絲 女 士 
trp_kingdom_10_lady_2_pl|阿 德 萊 迪 絲 
trp_kingdom_10_lady_3|阿 琳 女 士 
trp_kingdom_10_lady_3_pl|阿 琳 
trp_kingdom_10_lady_4|阿 德 莉 女 士 
trp_kingdom_10_lady_4_pl|阿 德 莉 
trp_kingdom_10_lady_5|阿 嘉 絲 女 士 
trp_kingdom_10_lady_5_pl|阿 嘉 絲 
trp_kingdom_10_lady_6|阿 萊 娜 女 士 
trp_kingdom_10_lady_6_pl|阿 萊 娜 
trp_kingdom_10_lady_7|卡 特 琳 女 士 
trp_kingdom_10_lady_7_pl|卡 特 琳 
trp_kingdom_10_lady_8|克 拉 莉 絲 女 士 
trp_kingdom_10_lady_8_pl|克 拉 莉 絲 
trp_kingdom_10_lady_9|達 內 女 士 
trp_kingdom_10_lady_9_pl|達 內 
trp_kingdom_10_lady_10|艾 德 莉 娜 女 士 
trp_kingdom_10_lady_10_pl|艾 德 莉 娜 
trp_kingdom_10_lady_11|埃 萊 娜 女 士 
trp_kingdom_10_lady_11_pl|埃 萊 娜 
trp_kingdom_10_lady_12|法 裡 娜 女 士 
trp_kingdom_10_lady_12_pl|法 裡 娜 
trp_kingdom_10_lady_13|弗 洛 裡 耶 女 士 
trp_kingdom_10_lady_13_pl|弗 洛 裡 耶 
trp_kingdom_10_lady_14|伊 莎 貝 洛 女 士 
trp_kingdom_10_lady_14_pl|伊 莎 貝 洛 
trp_kingdom_10_lady_15|雅 克 萊 娜 女 士 
trp_kingdom_10_lady_15_pl|雅 克 萊 娜 
trp_kingdom_10_lady_16|熱 艾 娜 女 士 
trp_kingdom_10_lady_16_pl|熱 艾 娜 
trp_kingdom_10_lady_17|日 弗 特 女 士 
trp_kingdom_10_lady_17_pl|日 弗 特 
trp_kingdom_10_lady_18|洛 雷 女 士 
trp_kingdom_10_lady_18_pl|洛 雷 
trp_kingdom_10_lady_19|洛 雷 特 女 士 
trp_kingdom_10_lady_19_pl|洛 雷 特 
trp_kingdom_10_lady_20|利 奧 內 女 士 
trp_kingdom_10_lady_20_pl|利 奧 內 
trp_kingdom_11_lady_1|瑪 格 麗 特· 德 羅 特 寧· 斯 庫 萊 斯 多 特 女 士 
trp_kingdom_11_lady_1_pl|瑪 格 麗 特· 德 羅 特 寧· 斯 庫 萊 斯 多 特 
trp_kingdom_11_lady_2|英 吉 比 亞 加 爾· 巴 德 斯 多 特 女 士 
trp_kingdom_11_lady_2_pl|英 吉 比 亞 加 爾· 巴 德 斯 多 特 
trp_kingdom_11_lady_3|拉 金 弗 裡 德 爾 女 士 
trp_kingdom_11_lady_3_pl|拉 金 弗 裡 德 爾 
trp_kingdom_11_lady_4|克 裡 斯 汀 女 士 
trp_kingdom_11_lady_4_pl|克 裡 斯 汀 
trp_kingdom_11_lady_5|艾 格 尼 絲 女 士 
trp_kingdom_11_lady_5_pl|艾 格 尼 絲 
trp_kingdom_11_lady_6|邁 克 蒂 爾 德 女 士 
trp_kingdom_11_lady_6_pl|邁 克 蒂 爾 德 
trp_kingdom_11_lady_7|博 格 蒂 爾 女 士 
trp_kingdom_11_lady_7_pl|博 格 蒂 爾 
trp_kingdom_11_lady_8|英 格 弗 萊 迪 爾 女 士 
trp_kingdom_11_lady_8_pl|英 格 弗 萊 迪 爾 
trp_kingdom_11_lady_9|索 菲 女 士 
trp_kingdom_11_lady_9_pl|索 菲 
trp_kingdom_11_lady_10|英 格 布 格 女 士 
trp_kingdom_11_lady_10_pl|英 格 布 格 
trp_kingdom_11_lady_11|艾 麗 卡 女 士 
trp_kingdom_11_lady_11_pl|艾 麗 卡 
trp_kingdom_11_lady_12|弗 蕾 亞 女 士 
trp_kingdom_11_lady_12_pl|弗 蕾 亞 
trp_kingdom_11_lady_13|弗 裡 卡 女 士 
trp_kingdom_11_lady_13_pl|弗 裡 卡 
trp_kingdom_11_lady_14|弗 洛 伊 克 女 士 
trp_kingdom_11_lady_14_pl|弗 洛 伊 克 
trp_kingdom_11_lady_15|嘉 拉 女 士 
trp_kingdom_11_lady_15_pl|嘉 拉 
trp_kingdom_12_lady_1|布 魯 斯 的 克 裡 斯 蒂 亞 娜 女 士 
trp_kingdom_12_lady_1_pl|布 魯 斯 的 克 裡 斯 蒂 亞 娜 
trp_kingdom_12_lady_2|馬 爾 約 莉 女 士 
trp_kingdom_12_lady_2_pl|馬 爾 約 莉 
trp_kingdom_12_lady_3|門 蒂 斯 女 伯 爵, 伊 莎 貝 拉 女 士 
trp_kingdom_12_lady_3_pl|伊 莎 貝 拉 
trp_kingdom_12_lady_4|艾 倫· 菲 爾 詩· 盧 埃 林 女 士 
trp_kingdom_12_lady_4_pl|艾 倫· 菲 爾 詩· 盧 埃 林 
trp_kingdom_12_lady_5|馬 喬 裡 女 士 
trp_kingdom_12_lady_5_pl|馬 喬 裡 
trp_kingdom_12_lady_6|伊 麗 莎 白· 科 明 女 士 
trp_kingdom_12_lady_6_pl|伊 麗 莎 白· 科 明 
trp_kingdom_12_lady_7|奧 克 尼 和 凱 思 內 斯 的 瑪 蒂 爾 達 女 士 
trp_kingdom_12_lady_7_pl|瑪 蒂 爾 達 
trp_kingdom_12_lady_8|比 特 的 吉 恩 女 士 
trp_kingdom_12_lady_8_pl|比 特 的 吉 恩 
trp_kingdom_12_lady_9|阿 伯 內 西 的 馬 喬 裡 女 士 
trp_kingdom_12_lady_9_pl|阿 伯 內 西 的 馬 喬 裡 
trp_kingdom_12_lady_10|約 翰 娜· 科 明 女 士 
trp_kingdom_12_lady_10_pl|約 翰 娜· 科 明 
trp_kingdom_13_lady_1|雷 瑪 女 士 
trp_kingdom_13_lady_1_pl|雷 瑪 
trp_kingdom_13_lady_2|查 娜 卡 女 士 
trp_kingdom_13_lady_2_pl|查 娜 卡 
trp_kingdom_13_lady_3|舒 拉 哈 女 士 
trp_kingdom_13_lady_3_pl|舒 拉 哈 
trp_kingdom_13_lady_4|莎 查 女 士 
trp_kingdom_13_lady_4_pl|莎 查 
trp_kingdom_13_lady_5|鮑 桑 女 士 
trp_kingdom_13_lady_5_pl|鮑 桑 
trp_kingdom_13_lady_6|馬 哈 伊 爾 女 士 
trp_kingdom_13_lady_6_pl|馬 哈 伊 爾 
trp_kingdom_13_lady_7|伊 絲 娜 女 士 
trp_kingdom_13_lady_7_pl|伊 絲 娜 
trp_kingdom_13_lady_8|愛 爾 蘭 的 希 婭 梵 女 士 
trp_kingdom_13_lady_8_pl|愛 爾 蘭 的 希 婭 梵 
trp_kingdom_13_lady_9|伊 法 女 士
trp_kingdom_13_lady_9_pl|伊 法 
trp_kingdom_13_lady_10|愛 爾 蘭 的 雅 斯 敏 女 士 
trp_kingdom_13_lady_10_pl|愛 爾 蘭 的 雅 斯 敏 
trp_kingdom_14_lady_1|蕾 瑪 女 士 
trp_kingdom_14_lady_1_pl|蕾 瑪 
trp_kingdom_14_lady_2|塔 奈 哈 女 士 
trp_kingdom_14_lady_2_pl|塔 奈 哈 
trp_kingdom_14_lady_3|蘇 拉 哈 女 士 
